날짜,경제위기
2020-01-06,18.61605
2020-01-07,19.00335
2020-01-08,19.15827
2020-01-09,20.5009
2020-01-10,18.66769
2020-01-11,16.03408
2020-01-12,13.81358
2020-01-13,18.07384
2020-01-14,20.99147
2020-01-15,18.04802
2020-01-16,18.51278
2020-01-17,17.53162
2020-01-18,12.23857
2020-01-19,14.25251
2020-01-20,18.04802
2020-01-21,20.57836
2020-01-22,18.30622
2020-01-23,16.31809
2020-01-24,9.60495
2020-01-25,10.76684
2020-01-26,10.45701
2020-01-27,14.12341
2020-01-28,18.77097
2020-01-29,18.2804
2020-01-30,19.72631
2020-01-31,18.48696
2020-02-01,12.98734
2020-02-02,15.33694
2020-02-03,19.02917
2020-02-04,17.78982
2020-02-05,18.90007
2020-02-06,19.51975
2020-02-07,16.36973
2020-02-08,14.09759
2020-02-09,14.30415
2020-02-10,18.4095
2020-02-11,19.59721
2020-02-12,19.82958
2020-02-13,18.79679
2020-02-14,18.95171
2020-02-15,14.92383
2020-02-16,14.30415
2020-02-17,20.52672
2020-02-18,22.35992
2020-02-19,23.78001
2020-02-20,21.99845
2020-02-21,22.07591
2020-02-22,16.44719
2020-02-23,18.92589
2020-02-24,25.43248
2020-02-25,25.14846
2020-02-26,24.27059
2020-02-27,24.03821
2020-02-28,29.84766
2020-02-29,22.07591
2020-03-01,20.83656
2020-03-02,29.27962
2020-03-03,26.10379
2020-03-04,31.26775
2020-03-05,28.04027
2020-03-06,28.91815
2020-03-07,24.8128
2020-03-08,27.05912
2020-03-09,45.46862
2020-03-10,47.04363
2020-03-11,41.5182
2020-03-12,58.63671
2020-03-13,89.28479
2020-03-14,39.27188
2020-03-15,35.52801
2020-03-16,51.76865
2020-03-17,63.56829
2020-03-18,62.6646
2020-03-19,100.0
2020-03-20,46.3465
2020-03-21,34.8567
2020-03-22,43.40304
2020-03-23,53.3953
2020-03-24,49.05757
2020-03-25,40.7436
2020-03-26,43.0932
2020-03-27,35.37309
2020-03-28,29.69274
2020-03-29,29.58946
2020-03-30,41.26
2020-03-31,41.85386
2020-04-01,40.7436
2020-04-02,40.40795
2020-04-03,41.28582
2020-04-04,28.24683
2020-04-05,27.49806
2020-04-06,40.27885
2020-04-07,56.28711
2020-04-08,52.3625
2020-04-09,39.1686
2020-04-10,35.37309
2020-04-11,23.93493
2020-04-12,26.25871
2020-04-13,34.49522
2020-04-14,35.94113
2020-04-15,26.82674
2020-04-16,41.33746
2020-04-17,37.46449
2020-04-18,25.89723
2020-04-19,30.46733
2020-04-20,40.33049
2020-04-21,39.14278
